criterion,target_sparsity,achieved_sparsity,seed,final_loss,final_accuracy
magnitude,0.0,0.0,0,0.01135906012212187,0.9966666666666667
magnitude,0.0,0.0,1,0.008654475332250722,0.9955555555555555
magnitude,0.0,0.0,2,0.00976544725538751,0.9977777777777778
magnitude,0.0,0.0,3,0.00928960583065057,0.9977777777777778
magnitude,0.0,0.0,4,0.007389438466206964,0.9977777777777778
magnitude,0.5,0.5,0,0.010150617603530757,0.9977777777777778
magnitude,0.5,0.5,1,0.008281314473528738,0.9955555555555555
magnitude,0.5,0.5,2,0.008136461423980685,0.9977777777777778
magnitude,0.5,0.5,3,0.008243036239422801,0.9977777777777778
magnitude,0.5,0.5,4,0.006679797296257662,0.9977777777777778
magnitude,0.7,0.7000117481203008,0,0.010866124074916958,0.9977777777777778
magnitude,0.7,0.7000117481203008,1,0.0075978772096874266,0.9966666666666667
magnitude,0.7,0.7000117481203008,2,0.00803053951811071,0.9977777777777778
magnitude,0.7,0.7000117481203008,3,0.009144805878690255,0.9977777777777778
magnitude,0.7,0.7000117481203008,4,0.006899943688709436,0.9977777777777778
magnitude,0.85,0.8499765037593985,0,0.009698306050431576,0.9977777777777778
magnitude,0.85,0.8499765037593985,1,0.007844304383254008,0.9966666666666667
magnitude,0.85,0.8499765037593985,2,0.008411430949118223,0.9977777777777778
magnitude,0.85,0.8499765037593985,3,0.009173421207506196,0.9977777777777778
magnitude,0.85,0.8499765037593985,4,0.006766459913317775,0.9966666666666667
magnitude,0.9,0.9000234962406015,0,0.0105856574192614,0.9977777777777778
magnitude,0.9,0.9000234962406015,1,0.00829609909635361,0.9966666666666667
magnitude,0.9,0.9000234962406015,2,0.008753879542050732,0.9977777777777778
magnitude,0.9,0.9000234962406015,3,0.008812995022698146,0.9977777777777778
magnitude,0.9,0.9000234962406015,4,0.007138755850020438,0.9966666666666667
magnitude,0.95,0.9500117481203008,0,0.0407705739050371,0.9933333333333333
magnitude,0.95,0.9500117481203008,1,0.019588546053285458,0.9955555555555555
magnitude,0.95,0.9500117481203008,2,0.019726783013402423,0.9966666666666667
magnitude,0.95,0.9500117481203008,3,0.1786072964401736,0.9211111111111111
magnitude,0.95,0.9500117481203008,4,0.16939929973487977,0.9511111111111111
saliency,0.0,0.0,0,0.01135906012212187,0.9966666666666667
saliency,0.0,0.0,1,0.008654475332250722,0.9955555555555555
saliency,0.0,0.0,2,0.00976544725538751,0.9977777777777778
saliency,0.0,0.0,3,0.00928960583065057,0.9977777777777778
saliency,0.0,0.0,4,0.007389438466206964,0.9977777777777778
saliency,0.5,0.5,0,0.013026069392816995,0.9966666666666667
saliency,0.5,0.5,1,0.008483401679991778,0.9955555555555555
saliency,0.5,0.5,2,0.00879076293358685,0.9977777777777778
saliency,0.5,0.5,3,0.008215397617899797,0.9977777777777778
saliency,0.5,0.5,4,0.0069742426459283285,0.9977777777777778
saliency,0.7,0.7000117481203008,0,0.011009670411946164,0.9966666666666667
saliency,0.7,0.7000117481203008,1,0.009942609524600939,0.9955555555555555
saliency,0.7,0.7000117481203008,2,0.009802634702634623,0.9977777777777778
saliency,0.7,0.7000117481203008,3,0.009754376918643969,0.9977777777777778
saliency,0.7,0.7000117481203008,4,0.007492172348652392,0.9977777777777778
saliency,0.85,0.8499765037593985,0,0.01044529303745025,0.9977777777777778
saliency,0.85,0.8499765037593985,1,0.008263814591778088,0.9955555555555555
saliency,0.85,0.8499765037593985,2,0.008477065505999857,0.9977777777777778
saliency,0.85,0.8499765037593985,3,0.008804679299325928,0.9966666666666667
saliency,0.85,0.8499765037593985,4,0.006833584341702663,0.9977777777777778
saliency,0.9,0.9000234962406015,0,0.014876902335881232,0.9966666666666667
saliency,0.9,0.9000234962406015,1,0.010189408249600377,0.9955555555555555
saliency,0.9,0.9000234962406015,2,0.008655721824494811,0.9977777777777778
saliency,0.9,0.9000234962406015,3,0.00944040984178742,0.9966666666666667
saliency,0.9,0.9000234962406015,4,0.007527882487322611,0.9977777777777778
saliency,0.95,0.9500117481203008,0,0.01808508568094657,0.9977777777777778
saliency,0.95,0.9500117481203008,1,0.012088756078225453,0.9955555555555555
saliency,0.95,0.9500117481203008,2,0.01109191237225107,0.9966666666666667
saliency,0.95,0.9500117481203008,3,0.009207641787248071,0.9966666666666667
saliency,0.95,0.9500117481203008,4,0.009408226550216595,0.9977777777777778
