criterion,target_sparsity,mean_achieved_sparsity,mean_accuracy,std_accuracy,n_seeds
magnitude,0.0,0.0,0.9973333333333333,0.0005443310539517937,5
magnitude,0.5,0.5,0.9975555555555555,0.00044444444444442506,5
magnitude,0.75,0.75,0.9975555555555555,0.00044444444444442506,5
magnitude,0.9,0.9000234962406015,0.994,0.001333333333333364,5
magnitude,0.95,0.9500117481203008,0.9862222222222223,0.004477653706579971,5
saliency,0.0,0.0,0.9973333333333333,0.0005443310539517937,5
saliency,0.5,0.5,0.9975555555555555,0.00044444444444442506,5
saliency,0.75,0.75,0.9975555555555555,0.00044444444444442506,5
saliency,0.9,0.9000234962406015,0.9971111111111112,0.0005443310539517937,5
saliency,0.95,0.9500117481203008,0.994,0.0011331154474650618,5
